name,tweets_count,domain_context,grouped_trends
#WaqfAmendmentBill,225K posts,Politics · Trending,[]
#KKRvsSRH,20.2K posts,Cricket · Trending,[]
#TrumpTariffs,106K posts,Trending,[]
Rajya Sabha,34.8K posts,Politics · Trending,[]
#RCBvsGT,11.7K posts,Trending,[]
SALMAN CHANGE YOUR TEAM,117K posts,Entertainment · Trending,[]
छत्रपति शिवाजी महाराज,38.6K posts,Trending,[]
#ShivajiMaharaj,11.1K posts,Trending,[]
Sanchez,110K posts,Football · Trending,[]
Caicedo,25.9K posts,Football · Trending,[]
Lok Sabha,76.2K posts,Trending,[]
Sancho,20.8K posts,Football · Trending,[]
SALMAN PLS SHELVE GANGARAM,61.7K posts,Entertainment · Trending,[]
Chelsea,111K posts,Football · Trending,[]
Anant Ambani,13.4K posts,Only on X · Trending,[]
KICK OUT JORDY PATEL,50.1K posts,Entertainment · Trending,[]
Marathi,23.9K posts,Politics · Trending,[]
Parliament,154K posts,Politics · Trending,[]
Palmer,31.6K posts,Football · Trending,[]
Enzo,47.6K posts,Football · Trending,[]
Spurs,42.9K posts,Football · Trending,[]
Vietnam,152K posts,Trending,[]
मराठा साम्राज्य,"5,547 posts",Trending,[]
बिल लोकसभा,45.5K posts,Trending,[]
WE DONT WANT GANGARAM,22.7K posts,Entertainment · Trending,[]
9YRS OF KKK7 WINNER SID,23.8K posts,Celebrities · Trending,[]
सुधांशु त्रिवेदी,"2,538 posts",Trending,[]
अमित शाह,33.9K posts,Politics · Trending,[]
दिग्विजय सिंह,"1,712 posts",Politics · Trending,[]
China,639K posts,Politics · Trending,[]
